RATE,CURRENCY,DATE
1.12,eur,1/1/2022
0.78,cad,1/1/2022
1.34,gbp,1/1/2022
0.71,aud,1/1/2022
0.01,jpy,1/1/2022
0.18,brl,1/1/2022
1.08,chf,1/1/2022
0.15,dkk,1/1/2022
0.01,rub,1/1/2022
0.25,pln,1/1/2022
0.11,sek,1/1/2022
0.04,twd,1/1/2022
0.32,ils,1/1/2022
0,krw,1/1/2022
0.05,mxn,1/1/2022
0.11,nok,1/1/2022
0.73,sgd,1/1/2022
0.07,try,1/1/2022
0.73,bnd,1/1/2022
0.01,inr,1/1/2022
0.24,myr,1/1/2022
0.27,sar,1/1/2022
0,clp,1/1/2022
0,cop,1/1/2022
0.66,nzd,1/1/2022
0.23,ron,1/1/2022
0.06,zar,1/1/2022
0.13,hkd,1/1/2022
0.02,php,1/1/2022
0.05,czk,1/1/2022
0.27,aed,1/1/2022
0.06,egp,1/1/2022
0,idr,1/1/2022
0,lbp,1/1/2022
0.26,pen,1/1/2022
0.03,thb,1/1/2022
0.16,cny,1/1/2022
0.15,hrk,1/1/2022
0,huf,1/1/2022
0.01,pkr,1/1/2022
0.27,qar,1/1/2022
0,tzs,1/1/2022
0.03,uah,1/1/2022
0,vnd,1/1/2022
0,crc,1/1/2022
0,kzt,1/1/2022
0,ngn,1/1/2022
0.57,bgn,1/1/2022
1.11,eur,12/1/2021
0.77,cad,12/1/2021
1.31,gbp,12/1/2021
0.7,aud,12/1/2021
0.01,jpy,12/1/2021
0.18,brl,12/1/2021
1.07,chf,12/1/2021
0.15,dkk,12/1/2021
0.01,rub,12/1/2021
0.24,pln,12/1/2021
0.11,sek,12/1/2021
0.04,twd,12/1/2021
0.31,ils,12/1/2021
0,krw,12/1/2021
0.05,mxn,12/1/2021
0.11,nok,12/1/2021
0.72,sgd,12/1/2021
0.07,try,12/1/2021
0.73,bnd,12/1/2021
0.01,inr,12/1/2021
0.24,myr,12/1/2021
0.27,sar,12/1/2021
0,clp,12/1/2021
0,cop,12/1/2021
0.68,nzd,12/1/2021
0.23,ron,12/1/2021
0.06,zar,12/1/2021
0.13,hkd,12/1/2021
0.02,php,12/1/2021
0.05,czk,12/1/2021
0.27,aed,12/1/2021
0.06,egp,12/1/2021
0,idr,12/1/2021
0,lbp,12/1/2021
0.25,pen,12/1/2021
0.03,thb,12/1/2021
0.16,cny,12/1/2021
0.15,hrk,12/1/2021
0,huf,12/1/2021
0.01,pkr,12/1/2021
0.27,qar,12/1/2021
0,tzs,12/1/2021
0.04,uah,12/1/2021
0,vnd,12/1/2021
0,crc,12/1/2021
0,kzt,12/1/2021
0,ngn,12/1/2021
0.58,bgn,12/1/2021
1.12,eur,11/1/2021
0.79,cad,11/1/2021
1.33,gbp,11/1/2021
0.72,aud,11/1/2021
0.01,jpy,11/1/2021
0.18,brl,11/1/2021
1.07,chf,11/1/2021
0.15,dkk,11/1/2021
0.01,rub,11/1/2021
0.24,pln,11/1/2021
0.11,sek,11/1/2021
0.04,twd,11/1/2021
0.31,ils,11/1/2021
0,krw,11/1/2021
0.05,mxn,11/1/2021
0.11,nok,11/1/2021
0.73,sgd,11/1/2021
0.1,try,11/1/2021
0.72,bnd,11/1/2021
0.01,inr,11/1/2021
0.24,myr,11/1/2021
0.27,sar,11/1/2021
0,clp,11/1/2021
0,cop,11/1/2021
0.68,nzd,11/1/2021
0.23,ron,11/1/2021
0.06,zar,11/1/2021
0.13,hkd,11/1/2021
0.02,php,11/1/2021
0.04,czk,11/1/2021
0.27,aed,11/1/2021
0.06,egp,11/1/2021
0,idr,11/1/2021
0,lbp,11/1/2021
0.25,pen,11/1/2021
0.03,thb,11/1/2021
0.16,cny,11/1/2021
0.15,hrk,11/1/2021
0,huf,11/1/2021
0.01,pkr,11/1/2021
0.27,qar,11/1/2021
0,tzs,11/1/2021
0.04,uah,11/1/2021
0,vnd,11/1/2021
0,crc,11/1/2021
0,kzt,11/1/2021
0,ngn,11/1/2021
0.58,bgn,11/1/2021
1.16,eur,7/1/2021
0.79,cad,7/1/2021
1.36,gbp,7/1/2021
0.73,aud,7/1/2021
0.01,jpy,7/1/2021
0.19,brl,7/1/2021
1.07,chf,7/1/2021
0.16,dkk,7/1/2021
0.01,rub,7/1/2021
0.26,pln,7/1/2021
0.11,sek,7/1/2021
0.04,twd,7/1/2021
0.3,ils,7/1/2021
0,krw,7/1/2021
0.05,mxn,7/1/2021
0.11,nok,7/1/2021
0.73,sgd,7/1/2021
0.11,try,7/1/2021
0.73,bnd,7/1/2021
0.01,inr,7/1/2021
0.24,myr,7/1/2021
0.27,sar,7/1/2021
0,clp,7/1/2021
0,cop,7/1/2021
0.7,nzd,7/1/2021
0.24,ron,7/1/2021
0.07,zar,7/1/2021
0.13,hkd,7/1/2021
0.02,php,7/1/2021
0.05,czk,7/1/2021
0.27,aed,7/1/2021
0.06,egp,7/1/2021
0,idr,7/1/2021
0,lbp,7/1/2021
0.26,pen,7/1/2021
0.03,thb,7/1/2021
0.15,cny,7/1/2021
0.16,hrk,7/1/2021
0,huf,7/1/2021
0.01,pkr,7/1/2021
0.27,qar,7/1/2021
0,tzs,7/1/2021
0.04,uah,7/1/2021
0,vnd,7/1/2021
0,crc,7/1/2021
0,kzt,7/1/2021
0,ngn,7/1/2021
0.6,bgn,7/1/2021
1.16,eur,4/1/2021
0.78,cad,4/1/2021
1.35,gbp,4/1/2021
0.75,aud,4/1/2021
0.01,jpy,4/1/2021
0.15,brl,4/1/2021
1.05,chf,4/1/2021
0.16,dkk,4/1/2021
0.01,rub,4/1/2021
0.25,pln,4/1/2021
0.11,sek,4/1/2021
0.03,twd,4/1/2021
0.3,ils,4/1/2021
0,krw,4/1/2021
0.05,mxn,4/1/2021
0.12,nok,4/1/2021
0.73,sgd,4/1/2021
0.12,try,4/1/2021
0.74,bnd,4/1/2021
0.01,inr,4/1/2021
0.24,myr,4/1/2021
0.27,sar,4/1/2021
0,clp,4/1/2021
0,cop,4/1/2021
0.72,nzd,4/1/2021
0.25,ron,4/1/2021
0.07,zar,4/1/2021
0.13,hkd,4/1/2021
0.02,php,4/1/2021
0.05,czk,4/1/2021
0.27,aed,4/1/2021
0.06,egp,4/1/2021
0,idr,4/1/2021
0,lbp,4/1/2021
0.26,pen,4/1/2021
0.03,thb,4/1/2021
0.15,cny,4/1/2021
0.16,hrk,4/1/2021
0,huf,4/1/2021
0.01,pkr,4/1/2021
0.27,qar,4/1/2021
0,tzs,4/1/2021
0.04,uah,4/1/2021
0,vnd,4/1/2021
0,crc,4/1/2021
0,kzt,4/1/2021
0,ngn,4/1/2021
0.62,bgn,4/1/2021
1.13,eur,7/1/2020
0.73,cad,7/1/2020
1.24,gbp,7/1/2020
0.69,aud,7/1/2020
0.01,jpy,7/1/2020
0.18,brl,7/1/2020
1.05,chf,7/1/2020
0.15,dkk,7/1/2020
0.01,rub,7/1/2020
0.25,pln,7/1/2020
0.11,sek,7/1/2020
0.03,twd,7/1/2020
0.29,ils,7/1/2020
0,krw,7/1/2020
0.04,mxn,7/1/2020
0.11,nok,7/1/2020
0.71,sgd,7/1/2020
0.14,try,7/1/2020
0.71,bnd,7/1/2020
0.01,inr,7/1/2020
0.24,myr,7/1/2020
0.27,sar,7/1/2020
0,clp,7/1/2020
0,cop,7/1/2020
0.66,nzd,7/1/2020
0.24,ron,7/1/2020
0.06,zar,7/1/2020
0.13,hkd,7/1/2020
0.02,php,7/1/2020
0.05,czk,7/1/2020
0.27,aed,7/1/2020
0.06,egp,7/1/2020
0,idr,7/1/2020
0,lbp,7/1/2020
0.28,pen,7/1/2020
0.03,thb,7/1/2020
0.14,cny,7/1/2020
0.16,hrk,7/1/2020
0,huf,7/1/2020
0.01,pkr,7/1/2020
0.27,qar,7/1/2020
0,tzs,7/1/2020
0.04,uah,7/1/2020
0,vnd,7/1/2020
0,crc,7/1/2020
0,kzt,7/1/2020
0,ngn,7/1/2020
0.6,bgn,7/1/2020
1.09,eur,1/1/2020
0.75,cad,1/1/2020
1.28,gbp,1/1/2020
0.67,aud,1/1/2020
0.01,jpy,1/1/2020
0.24,brl,1/1/2020
1.01,chf,1/1/2020
0.15,dkk,1/1/2020
0.02,rub,1/1/2020
0.25,pln,1/1/2020
0.1,sek,1/1/2020
0.03,twd,1/1/2020
0.28,ils,1/1/2020
0,krw,1/1/2020
0.05,mxn,1/1/2020
0.11,nok,1/1/2020
0.73,sgd,1/1/2020
0.17,try,1/1/2020
0.73,bnd,1/1/2020
0.01,inr,1/1/2020
0.24,myr,1/1/2020
0.27,sar,1/1/2020
0,clp,1/1/2020
0,cop,1/1/2020
0.65,nzd,1/1/2020
0.23,ron,1/1/2020
0.07,zar,1/1/2020
0.13,hkd,1/1/2020
0.02,php,1/1/2020
0.04,czk,1/1/2020
0.27,aed,1/1/2020
0.06,egp,1/1/2020
0,idr,1/1/2020
0,lbp,1/1/2020
0.3,pen,1/1/2020
0.03,thb,1/1/2020
0.14,cny,1/1/2020
0.15,hrk,1/1/2020
0,huf,1/1/2020
0.01,pkr,1/1/2020
0.27,qar,1/1/2020
0,tzs,1/1/2020
0.04,uah,1/1/2020
0,vnd,1/1/2020
0,crc,1/1/2020
0,kzt,1/1/2020
0,ngn,1/1/2020
0.57,bgn,1/1/2020
1.08,eur,2/1/2020
0.74,cad,2/1/2020
1.27,gbp,2/1/2020
0.65,aud,2/1/2020
0.01,jpy,2/1/2020
0.23,brl,2/1/2020
1.01,chf,2/1/2020
0.14,dkk,2/1/2020
0.02,rub,2/1/2020
0.25,pln,2/1/2020
0.1,sek,2/1/2020
0.03,twd,2/1/2020
0.29,ils,2/1/2020
0,krw,2/1/2020
0.05,mxn,2/1/2020
0.11,nok,2/1/2020
0.71,sgd,2/1/2020
0.16,try,2/1/2020
0.71,bnd,2/1/2020
0.01,inr,2/1/2020
0.24,myr,2/1/2020
0.27,sar,2/1/2020
0,clp,2/1/2020
0,cop,2/1/2020
0.62,nzd,2/1/2020
1.06,eur,4/1/2020
0.7,cad,4/1/2020
1.22,gbp,4/1/2020
0.62,aud,4/1/2020
0.01,jpy,4/1/2020
0.18,brl,4/1/2020
1.01,chf,4/1/2020
0.14,dkk,4/1/2020
0.01,rub,4/1/2020
0.23,pln,4/1/2020
0.1,sek,4/1/2020
0.03,twd,4/1/2020
0.28,ils,4/1/2020
0,krw,4/1/2020
0.04,mxn,4/1/2020
0.09,nok,4/1/2020
0.69,sgd,4/1/2020
0.14,try,4/1/2020
0.63,bnd,4/1/2020
0.01,inr,4/1/2020
0.23,myr,4/1/2020
0.27,sar,4/1/2020
0,clp,4/1/2020
0,cop,4/1/2020
0.61,nzd,4/1/2020
0.23,ron,4/1/2020
0.05,zar,4/1/2020
0.13,hkd,4/1/2020
0.02,php,4/1/2020
0.04,czk,4/1/2020
0.27,aed,4/1/2020
0.06,egp,4/1/2020
0,idr,4/1/2020
0,lbp,4/1/2020
0.3,pen,4/1/2020
0.03,thb,4/1/2020
0.14,cny,4/1/2020
0.14,hrk,4/1/2020
0,huf,4/1/2020
0.01,pkr,4/1/2020
0.27,qar,4/1/2020
0,tzs,4/1/2020
0.04,uah,4/1/2020
0,vnd,4/1/2020
0,crc,4/1/2020
0,kzt,4/1/2020
0,ngn,4/1/2020
0.56,bgn,4/1/2020
0.23,ron,2/1/2020
0.06,zar,2/1/2020
0.13,hkd,2/1/2020
0.02,php,2/1/2020
0.04,czk,2/1/2020
0.27,aed,2/1/2020
0.06,egp,2/1/2020
0,idr,2/1/2020
0,lbp,2/1/2020
0.29,pen,2/1/2020
0.03,thb,2/1/2020
0.14,cny,2/1/2020
0.15,hrk,2/1/2020
0,huf,2/1/2020
0.01,pkr,2/1/2020
0.27,qar,2/1/2020
0,tzs,2/1/2020
0.04,uah,2/1/2020
0,vnd,2/1/2020
0,crc,2/1/2020
0,kzt,2/1/2020
0,ngn,2/1/2020
0.56,bgn,2/1/2020
1.08,eur,3/1/2020
0.7,cad,3/1/2020
1.2,gbp,3/1/2020
0.6,aud,3/1/2020
0.01,jpy,3/1/2020
0.21,brl,3/1/2020
1.01,chf,3/1/2020
0.15,dkk,3/1/2020
0.01,rub,3/1/2020
0.24,pln,3/1/2020
0.1,sek,3/1/2020
0.03,twd,3/1/2020
0.27,ils,3/1/2020
0,krw,3/1/2020
0.04,mxn,3/1/2020
0.09,nok,3/1/2020
0.68,sgd,3/1/2020
0.15,try,3/1/2020
0.71,bnd,3/1/2020
0.01,inr,3/1/2020
0.23,myr,3/1/2020
0.27,sar,3/1/2020
0,clp,3/1/2020
0,cop,3/1/2020
0.6,nzd,3/1/2020
0.23,ron,3/1/2020
0.06,zar,3/1/2020
0.13,hkd,3/1/2020
0.02,php,3/1/2020
0.04,czk,3/1/2020
0.27,aed,3/1/2020
0.06,egp,3/1/2020
0,idr,3/1/2020
0,lbp,3/1/2020
0.29,pen,3/1/2020
0.03,thb,3/1/2020
0.14,cny,3/1/2020
0.14,hrk,3/1/2020
0,huf,3/1/2020
0.01,pkr,3/1/2020
0.27,qar,3/1/2020
0,tzs,3/1/2020
0.04,uah,3/1/2020
0,vnd,3/1/2020
0,crc,3/1/2020
0,kzt,3/1/2020
0,ngn,3/1/2020
0.56,bgn,3/1/2020
1.07,eur,5/1/2020
0.71,cad,5/1/2020
1.21,gbp,5/1/2020
0.64,aud,5/1/2020
0.01,jpy,5/1/2020
0.18,brl,5/1/2020
1.02,chf,5/1/2020
0.14,dkk,5/1/2020
0.01,rub,5/1/2020
0.24,pln,5/1/2020
0.1,sek,5/1/2020
0.03,twd,5/1/2020
0.28,ils,5/1/2020
0,krw,5/1/2020
0.04,mxn,5/1/2020
0.1,nok,5/1/2020
0.7,sgd,5/1/2020
0.14,try,5/1/2020
0.7,bnd,5/1/2020
0.01,inr,5/1/2020
0.23,myr,5/1/2020
0.27,sar,5/1/2020
0,clp,5/1/2020
0,cop,5/1/2020
0.62,nzd,5/1/2020
0.23,ron,5/1/2020
0.06,zar,5/1/2020
0.13,hkd,5/1/2020
0.02,php,5/1/2020
0.04,czk,5/1/2020
0.27,aed,5/1/2020
0.06,egp,5/1/2020
0,idr,5/1/2020
0,lbp,5/1/2020
0.29,pen,5/1/2020
0.03,thb,5/1/2020
0.14,cny,5/1/2020
0.15,hrk,5/1/2020
0,huf,5/1/2020
0.01,pkr,5/1/2020
0.27,qar,5/1/2020
0,tzs,5/1/2020
0.04,uah,5/1/2020
0,vnd,5/1/2020
0,crc,5/1/2020
0,kzt,5/1/2020
0,ngn,5/1/2020
0.57,bgn,5/1/2020
1.11,eur,6/1/2020
0.72,cad,6/1/2020
1.22,gbp,6/1/2020
0.67,aud,6/1/2020
0.01,jpy,6/1/2020
0.19,brl,6/1/2020
1.03,chf,6/1/2020
0.15,dkk,6/1/2020
0.01,rub,6/1/2020
0.25,pln,6/1/2020
0.11,sek,6/1/2020
0.03,twd,6/1/2020
0.28,ils,6/1/2020
0,krw,6/1/2020
0.04,mxn,6/1/2020
0.1,nok,6/1/2020
0.71,sgd,6/1/2020
0.14,try,6/1/2020
0.71,bnd,6/1/2020
0.01,inr,6/1/2020
0.23,myr,6/1/2020
0.27,sar,6/1/2020
0,clp,6/1/2020
0,cop,6/1/2020
0.64,nzd,6/1/2020
0.23,ron,6/1/2020
0.06,zar,6/1/2020
0.13,hkd,6/1/2020
0.02,php,6/1/2020
0.04,czk,6/1/2020
0.27,aed,6/1/2020
0.06,egp,6/1/2020
0,idr,6/1/2020
0,lbp,6/1/2020
0.28,pen,6/1/2020
0.03,thb,6/1/2020
0.14,cny,6/1/2020
0.15,hrk,6/1/2020
0,huf,6/1/2020
0.01,pkr,6/1/2020
0.27,qar,6/1/2020
0,tzs,6/1/2020
0.04,uah,6/1/2020
0,vnd,6/1/2020
0,crc,6/1/2020
0,kzt,6/1/2020
0,ngn,6/1/2020
0.57,bgn,6/1/2020
1.15,eur,8/1/2020
0.74,cad,8/1/2020
1.28,gbp,8/1/2020
0.7,aud,8/1/2020
0.01,jpy,8/1/2020
0.18,brl,8/1/2020
1.07,chf,8/1/2020
0.16,dkk,8/1/2020
0.01,rub,8/1/2020
0.26,pln,8/1/2020
0.11,sek,8/1/2020
0.03,twd,8/1/2020
0.29,ils,8/1/2020
0,krw,8/1/2020
0.04,mxn,8/1/2020
0.11,nok,8/1/2020
0.71,sgd,8/1/2020
0.14,try,8/1/2020
0.72,bnd,8/1/2020
0.01,inr,8/1/2020
0.24,myr,8/1/2020
0.27,sar,8/1/2020
0,clp,8/1/2020
0,cop,8/1/2020
0.68,nzd,8/1/2020
